timeDate,close
2017-01-01,4.54
2017-01-02,4.51
2017-01-03,4.42
2017-01-04,4.16
2017-01-05,3.76
2017-01-06,3.82
2017-01-07,3.91
2017-01-08,4.25
2017-01-09,4.47
2017-01-10,3.84
2017-01-11,3.94
2017-01-12,3.86
2017-01-13,3.89
2017-01-14,3.85
2017-01-15,3.82
2017-01-16,3.89
2017-01-17,3.8
2017-01-18,3.82
2017-01-19,3.84
2017-01-20,3.85
2017-01-21,3.81
2017-01-22,3.82
2017-01-23,3.75
2017-01-24,3.66
2017-01-25,3.81
2017-01-26,3.85
2017-01-27,3.84
2017-01-28,3.82
2017-01-29,3.99
2017-01-30,4.02
2017-01-31,4.0
2017-02-01,4.03
2017-02-02,3.99
2017-02-03,3.96
2017-02-04,3.97
2017-02-05,3.93
2017-02-06,3.93
2017-02-07,3.93
2017-02-08,3.67
2017-02-09,3.76
2017-02-10,3.81
2017-02-11,3.73
2017-02-12,3.74
2017-02-13,3.8
2017-02-14,3.81
2017-02-15,3.84
2017-02-16,3.83
2017-02-17,3.78
2017-02-18,3.75
2017-02-19,3.73
2017-02-20,3.78
2017-02-21,3.8
2017-02-22,3.8
2017-02-23,3.87
2017-02-24,3.85
2017-02-25,3.82
2017-02-26,3.83
2017-02-27,3.77
2017-02-28,3.8
2017-03-01,3.96
2017-03-02,4.02
2017-03-03,3.98
2017-03-04,3.97
2017-03-05,4.05
2017-03-06,3.96
2017-03-07,3.8
2017-03-08,3.89
2017-03-09,3.78
2017-03-10,3.8
2017-03-11,3.87
2017-03-12,4.36
2017-03-13,4.17
2017-03-14,4.26
2017-03-15,4.33
2017-03-16,4.2
2017-03-17,4.05
2017-03-18,3.98
2017-03-19,4.12
2017-03-20,4.09
2017-03-21,3.98
2017-03-22,4.02
2017-03-23,4.18
2017-03-24,4.13
2017-03-25,4.1
2017-03-26,4.1
2017-03-27,4.2
2017-03-28,4.32
2017-03-29,7.5
2017-03-30,7.1
2017-03-31,7.48
2017-04-01,8.22
2017-04-02,8.57
