timeDate,close
2017-06-01,142.91
2017-06-02,140.9
2017-06-03,141.66
2017-06-04,143.89
2017-06-05,140.87
2017-06-06,138.41
2017-06-07,141.22
2017-06-08,144.86
2017-06-09,148.47
2017-06-10,181.73
2017-06-11,167.8
2017-06-12,180.21
2017-06-13,163.26
2017-06-14,161.08
2017-06-15,162.18
2017-06-16,175.27
2017-06-17,187.06
2017-06-18,194.5
2017-06-19,188.17
2017-06-20,178.96
2017-06-21,180.85
2017-06-22,184.69
2017-06-23,177.99
2017-06-24,169.59
2017-06-25,160.72
2017-06-26,172.98
2017-06-27,179.62
2017-06-28,172.13
2017-06-29,173.7
2017-06-30,162.01
2017-07-01,169.78
2017-07-02,178.55
2017-07-03,181.4
2017-07-04,204.92
2017-07-05,207.71
2017-07-06,190.59
2017-07-07,208.1
2017-07-08,195.49
2017-07-09,174.07
2017-07-10,162.62
2017-07-11,177.73
2017-07-12,167.74
2017-07-13,159.51
2017-07-14,141.88
2017-07-15,131.35
2017-07-16,149.99
2017-07-17,154.61
2017-07-18,153.52
2017-07-19,182.7
2017-07-20,182.04
2017-07-21,190.17
2017-07-22,188.71
2017-07-23,201.48
2017-07-24,193.45
2017-07-25,192.22
2017-07-26,193.71
2017-07-27,184.58
2017-07-28,185.5
2017-07-29,171.41
2017-07-30,175.72
2017-07-31,184.04
2017-08-01,181.6
2017-08-02,187.64
2017-08-03,187.09
2017-08-04,192.0
2017-08-05,188.77
2017-08-06,196.64
2017-08-07,203.31
2017-08-08,198.94
2017-08-09,201.01
2017-08-10,205.66
2017-08-11,204.29
2017-08-12,196.9
2017-08-13,198.74
2017-08-14,202.64
2017-08-15,231.08
2017-08-16,234.74
2017-08-17,222.63
2017-08-18,286.58
2017-08-19,291.51
2017-08-20,281.22
2017-08-21,291.76
2017-08-22,292.46
2017-08-23,313.34
2017-08-24,314.96
2017-08-25,396.74
2017-08-26,362.9
2017-08-27,356.56
2017-08-28,360.1
2017-08-29,371.61
2017-08-30,380.77
2017-08-31,395.46
2017-09-01,348.09
2017-09-02,356.27
2017-09-03,313.65
2017-09-04,326.74
2017-09-05,349.76
2017-09-06,346.98
2017-09-07,330.89
2017-09-08,324.84
2017-09-09,324.26
2017-09-10,317.75
2017-09-11,326.59
2017-09-12,298.96
2017-09-13,240.08
2017-09-14,285.56
2017-09-15,300.27
2017-09-16,312.09
2017-09-17,335.58
2017-09-18,325.95
2017-09-19,342.58
2017-09-20,329.85
2017-09-21,342.61
2017-09-22,351.08
2017-09-23,329.2
2017-09-24,348.22
2017-09-25,341.7
2017-09-26,350.51
2017-09-27,342.36
2017-09-28,328.7
2017-09-29,329.58
2017-09-30,317.01
2017-10-01,307.98
2017-10-02,294.5
2017-10-03,303.32
2017-10-04,305.35
2017-10-05,305.95
2017-10-06,311.52
2017-10-07,301.97
2017-10-08,282.33
2017-10-09,290.93
2017-10-10,298.21
2017-10-11,290.81
2017-10-12,308.82
2017-10-13,316.35
2017-10-14,308.89
2017-10-15,302.16
2017-10-16,299.48
2017-10-17,296.19
2017-10-18,293.7
2017-10-19,287.54
2017-10-20,276.66
2017-10-21,273.86
2017-10-22,279.39
2017-10-23,291.0
2017-10-24,286.19
2017-10-25,284.86
2017-10-26,280.56
2017-10-27,273.53
2017-10-28,282.92
2017-10-29,284.93
2017-10-30,277.23
2017-10-31,269.64
2017-11-01,263.22
2017-11-02,276.79
2017-11-03,273.45
2017-11-04,272.22
2017-11-05,273.87
2017-11-06,288.95
2017-11-07,313.2
2017-11-08,325.37
2017-11-09,325.89
2017-11-10,343.43
2017-11-11,487.14
2017-11-12,421.66
2017-11-13,420.93
2017-11-14,420.68
2017-11-15,419.44
2017-11-16,423.94
2017-11-17,453.55
2017-11-18,442.39
2017-11-19,485.96
2017-11-20,491.66
2017-11-21,573.66
2017-11-22,561.55
2017-11-23,560.92
2017-11-24,636.12
2017-11-25,616.45
2017-11-26,623.72
2017-11-27,609.83
2017-11-28,667.55
2017-11-29,758.71
2017-11-30,781.52
2017-12-01,764.95
2017-12-02,759.93
2017-12-03,764.64
2017-12-04,731.29
2017-12-05,667.35
2017-12-06,660.26
2017-12-07,700.25
2017-12-08,707.95
2017-12-09,669.63
2017-12-10,755.55
2017-12-11,881.35
2017-12-12,871.76
2017-12-13,927.76
2017-12-14,891.11
2017-12-15,987.53
2017-12-16,1084.54
2017-12-17,1142.44
2017-12-18,1136.12
2017-12-19,1433.41
2017-12-20,1339.73
2017-12-21,1099.65
2017-12-22,1160.85
2017-12-23,1096.43
2017-12-24,1109.1
2017-12-25,1180.57
2017-12-26,1133.36
2017-12-27,1103.06
2017-12-28,1089.31
2017-12-29,943.14
2017-12-30,1013.89
2017-12-31,1019.42
