timeDate,close
2017-09-01,251.87
2017-09-02,262.72
2017-09-03,219.9
2017-09-04,229.78
2017-09-05,247.51
2017-09-06,248.11
2017-09-07,220.97
2017-09-08,219.25
2017-09-09,217.27
2017-09-10,213.69
2017-09-11,209.71
2017-09-12,198.93
2017-09-13,161.93
2017-09-14,187.02
2017-09-15,179.36
2017-09-16,177.04
2017-09-17,195.02
2017-09-18,188.5
2017-09-19,188.25
2017-09-20,175.41
2017-09-21,196.12
2017-09-22,204.83
2017-09-23,205.57
2017-09-24,231.3
2017-09-25,232.13
2017-09-26,286.72
2017-09-27,311.19
2017-09-28,289.83
2017-09-29,278.0
2017-09-30,265.54
2017-10-01,257.0
2017-10-02,252.65
2017-10-03,237.31
2017-10-04,256.03
2017-10-05,257.95
2017-10-06,254.0
2017-10-07,242.19
2017-10-08,229.39
2017-10-09,234.53
2017-10-10,236.24
2017-10-11,226.92
2017-10-12,238.93
2017-10-13,239.66
2017-10-14,232.29
2017-10-15,233.25
2017-10-16,229.99
2017-10-17,228.41
2017-10-18,230.08
2017-10-19,221.36
2017-10-20,211.8
2017-10-21,213.08
2017-10-22,204.88
2017-10-23,214.86
2017-10-24,216.3
2017-10-25,233.33
2017-10-26,243.53
2017-10-27,228.86
2017-10-28,233.16
2017-10-29,239.75
2017-10-30,232.12
2017-10-31,221.21
2017-11-01,216.68
2017-11-02,231.16
2017-11-03,229.84
2017-11-04,224.97
2017-11-05,227.2
2017-11-06,238.48
2017-11-07,249.71
2017-11-08,260.77
2017-11-09,235.85
2017-11-10,252.61
2017-11-11,280.93
2017-11-12,263.17
2017-11-13,269.15
2017-11-14,287.59
2017-11-15,295.23
2017-11-16,290.31
2017-11-17,297.24
2017-11-18,299.66
2017-11-19,303.86
2017-11-20,289.52
2017-11-21,318.26
2017-11-22,309.63
2017-11-23,348.83
2017-11-24,343.32
2017-11-25,336.43
2017-11-26,344.77
2017-11-27,361.1
2017-11-28,302.09
2017-11-29,301.87
2017-11-30,330.71
2017-12-01,325.7
2017-12-02,318.68
2017-12-03,326.92
2017-12-04,320.89
2017-12-05,314.75
2017-12-06,292.29
2017-12-07,319.03
2017-12-08,308.05
2017-12-09,283.89
2017-12-10,316.05
2017-12-11,364.14
2017-12-12,410.78
2017-12-13,504.97
2017-12-14,463.78
2017-12-15,465.07
2017-12-16,527.14
2017-12-17,583.72
2017-12-18,589.89
2017-12-19,666.0
2017-12-20,646.99
2017-12-21,481.99
2017-12-22,522.2
2017-12-23,519.38
2017-12-24,516.98
2017-12-25,546.2
2017-12-26,517.26
2017-12-27,478.64
2017-12-28,519.04
2017-12-29,446.56
2017-12-30,479.29
2017-12-31,518.49
