timeDate,close
2017-01-01,11.62
2017-01-02,12.22
2017-01-03,15.49
2017-01-04,13.63
2017-01-05,11.21
2017-01-06,11.72
2017-01-07,12.31
2017-01-08,12.12
2017-01-09,12.16
2017-01-10,11.14
2017-01-11,12.17
2017-01-12,12.35
2017-01-13,12.25
2017-01-14,12.26
2017-01-15,12.8
2017-01-16,14.04
2017-01-17,13.79
2017-01-18,15.01
2017-01-19,14.9
2017-01-20,14.79
2017-01-21,14.98
2017-01-22,15.03
2017-01-23,14.03
2017-01-24,14.26
2017-01-25,14.75
2017-01-26,15.13
2017-01-27,15.09
2017-01-28,15.27
2017-01-29,15.79
2017-01-30,15.94
2017-01-31,15.69
2017-02-01,16.01
2017-02-02,16.9
2017-02-03,16.88
2017-02-04,16.51
2017-02-05,16.5
2017-02-06,16.82
2017-02-07,16.89
2017-02-08,16.05
2017-02-09,16.91
2017-02-10,17.06
2017-02-11,16.81
2017-02-12,16.72
2017-02-13,18.04
2017-02-14,19.39
2017-02-15,19.27
2017-02-16,19.75
2017-02-17,21.07
2017-02-18,22.22
2017-02-19,21.17
2017-02-20,20.86
2017-02-21,21.5
2017-02-22,24.42
2017-02-23,25.52
2017-02-24,26.6
2017-02-25,27.64
2017-02-26,27.92
2017-02-27,32.43
2017-02-28,41.4
2017-03-01,42.13
2017-03-02,47.25
2017-03-03,43.02
2017-03-04,42.0
2017-03-05,45.8
2017-03-06,45.41
2017-03-07,41.33
2017-03-08,50.39
2017-03-09,49.67
2017-03-10,72.56
2017-03-11,76.03
2017-03-12,74.64
2017-03-13,87.69
2017-03-14,96.0
2017-03-15,89.49
2017-03-16,98.52
2017-03-17,108.74
2017-03-18,108.59
2017-03-19,101.87
2017-03-20,98.08
2017-03-21,103.45
2017-03-22,102.43
2017-03-23,101.94
2017-03-24,94.99
2017-03-25,94.13
2017-03-26,84.99
2017-03-27,87.66
2017-03-28,84.76
2017-03-29,78.45
2017-03-30,72.4
2017-03-31,67.42
2017-04-01,56.0
2017-04-02,62.45
2017-04-03,68.64
2017-04-04,74.04
2017-04-05,66.06
2017-04-06,66.14
2017-04-07,67.24
2017-04-08,65.04
2017-04-09,61.39
2017-04-10,60.87
2017-04-11,67.4
2017-04-12,72.81
2017-04-13,71.8
2017-04-14,74.71
2017-04-15,75.19
2017-04-16,75.44
2017-04-17,72.47
2017-04-18,72.34
2017-04-19,71.04
2017-04-20,70.84
2017-04-21,70.96
2017-04-22,70.24
2017-04-23,71.63
2017-04-24,71.2
2017-04-25,71.31
2017-04-26,77.71
2017-04-27,78.55
2017-04-28,93.07
2017-04-29,89.36
2017-04-30,84.77
2017-05-01,83.73
2017-05-02,85.59
2017-05-03,86.45
2017-05-04,92.55
2017-05-05,94.38
2017-05-06,100.93
2017-05-07,95.87
2017-05-08,86.73
2017-05-09,87.65
2017-05-10,88.63
2017-05-11,85.23
2017-05-12,86.99
2017-05-13,87.28
2017-05-14,88.75
2017-05-15,83.32
2017-05-16,81.85
2017-05-17,87.19
2017-05-18,96.14
2017-05-19,97.39
2017-05-20,99.85
