timeDate,close
2017-12-01,764.95
2017-12-02,759.93
2017-12-03,764.64
2017-12-04,731.29
2017-12-05,667.35
2017-12-06,660.26
2017-12-07,700.25
2017-12-08,707.95
2017-12-09,669.63
2017-12-10,755.55
2017-12-11,881.35
2017-12-12,871.76
2017-12-13,927.76
2017-12-14,891.11
2017-12-15,987.53
2017-12-16,1084.54
2017-12-17,1142.44
2017-12-18,1136.12
2017-12-19,1433.41
2017-12-20,1339.73
2017-12-21,1099.65
2017-12-22,1160.85
2017-12-23,1096.43
2017-12-24,1109.1
2017-12-25,1180.57
2017-12-26,1133.36
2017-12-27,1103.06
2017-12-28,1089.31
2017-12-29,943.14
2017-12-30,1013.89
2017-12-31,1019.42
