timeDate,close
2017-01-01,50.08
2017-01-02,50.0
2017-01-03,53.14
2017-01-04,49.99
2017-01-05,46.29
2017-01-06,46.75
2017-01-07,45.15
2017-01-08,45.49
2017-01-09,45.3
2017-01-10,40.04
2017-01-11,43.0
2017-01-12,43.04
2017-01-13,44.98
2017-01-14,44.21
2017-01-15,43.42
2017-01-16,45.01
2017-01-17,43.24
2017-01-18,43.99
2017-01-19,43.28
2017-01-20,43.26
2017-01-21,42.9
2017-01-22,42.56
2017-01-23,41.05
2017-01-24,39.11
2017-01-25,37.11
2017-01-26,38.81
2017-01-27,38.0
2017-01-28,38.72
2017-01-29,40.3
2017-01-30,39.72
2017-01-31,39.3
2017-02-01,39.78
2017-02-02,38.5
2017-02-03,39.0
2017-02-04,37.52
2017-02-05,37.1
2017-02-06,36.29
2017-02-07,34.56
2017-02-08,32.57
2017-02-09,32.51
2017-02-10,32.58
2017-02-11,31.04
2017-02-12,30.71
2017-02-13,33.15
2017-02-14,33.67
2017-02-15,33.0
2017-02-16,32.0
2017-02-17,30.62
2017-02-18,30.28
2017-02-19,31.13
2017-02-20,30.21
2017-02-21,27.0
2017-02-22,30.01
2017-02-23,30.35
2017-02-24,29.02
2017-02-25,29.24
2017-02-26,36.16
2017-02-27,36.87
2017-02-28,41.65
2017-03-01,39.7
2017-03-02,41.38
2017-03-03,41.5
2017-03-04,39.4
2017-03-05,39.49
2017-03-06,37.83
2017-03-07,36.0
2017-03-08,36.55
2017-03-09,34.4
2017-03-10,38.91
2017-03-11,39.14
2017-03-12,48.0
2017-03-13,44.03
2017-03-14,46.3
2017-03-15,47.85
2017-03-16,45.02
2017-03-17,64.0
2017-03-18,65.01
2017-03-19,71.68
2017-03-20,65.04
2017-03-21,66.42
2017-03-22,65.49
2017-03-23,62.89
2017-03-24,61.94
2017-03-25,58.26
2017-03-26,56.42
2017-03-27,63.11
2017-03-28,62.54
2017-03-29,60.56
2017-03-30,62.22
2017-03-31,61.57
2017-04-01,59.25
2017-04-02,59.26
2017-04-03,59.55
2017-04-04,59.99
2017-04-05,59.31
2017-04-06,60.56
2017-04-07,63.41
2017-04-08,63.48
2017-04-09,64.86
2017-04-10,61.78
2017-04-11,62.32
2017-04-12,64.13
2017-04-13,72.09
2017-04-14,75.24
2017-04-15,71.0
2017-04-16,69.66
2017-04-17,69.71
2017-04-18,70.0
2017-04-19,65.96
2017-04-20,68.83
2017-04-21,68.0
2017-04-22,68.53
2017-04-23,67.58
2017-04-24,69.9
2017-04-25,72.5
2017-04-26,78.4
2017-04-27,85.0
2017-04-28,96.0
2017-04-29,92.72
2017-04-30,87.06
2017-05-01,93.5
2017-05-02,92.93
2017-05-03,98.75
2017-05-04,100.25
2017-05-05,105.32
2017-05-06,95.0
2017-05-07,103.25
2017-05-08,94.39
2017-05-09,96.89
2017-05-10,93.52
2017-05-11,96.52
2017-05-12,95.75
2017-05-13,95.95
2017-05-14,94.0
2017-05-15,91.32
2017-05-16,92.97
2017-05-17,94.27
2017-05-18,103.82
2017-05-19,104.85
2017-05-20,118.34
2017-05-21,198.77
2017-05-22,231.79
2017-05-23,232.2
2017-05-24,216.74
2017-05-25,200.0
2017-05-26,180.99
2017-05-27,190.42
2017-05-28,201.96
2017-05-29,223.73
2017-05-30,231.36
2017-05-31,245.73
2017-06-01,237.83
2017-06-02,225.94
2017-06-03,238.87
2017-06-04,246.46
2017-06-05,256.8
2017-06-06,264.69
2017-06-07,270.26
2017-06-08,279.03
2017-06-09,321.01
2017-06-10,324.01
2017-06-11,301.93
2017-06-12,364.42
2017-06-13,381.92
2017-06-14,394.77
2017-06-15,381.03
2017-06-16,394.21
2017-06-17,369.01
2017-06-18,401.68
2017-06-19,410.68
2017-06-20,381.34
2017-06-21,379.23
2017-06-22,374.68
2017-06-23,351.35
2017-06-24,313.92
2017-06-25,295.92
2017-06-26,335.58
2017-06-27,336.91
2017-06-28,313.57
2017-06-29,291.72
2017-06-30,275.39
2017-07-01,293.63
2017-07-02,288.91
2017-07-03,281.63
2017-07-04,282.44
2017-07-05,285.91
2017-07-06,248.06
2017-07-07,249.8
2017-07-08,241.43
2017-07-09,196.09
2017-07-10,176.76
2017-07-11,211.4
2017-07-12,194.59
2017-07-13,177.06
2017-07-14,160.34
2017-07-15,163.34
2017-07-16,179.21
2017-07-17,200.07
2017-07-18,181.23
2017-07-19,209.58
2017-07-20,203.65
2017-07-21,218.97
2017-07-22,211.88
2017-07-23,210.78
2017-07-24,186.7
2017-07-25,189.18
