timeDate,close
2017-12-01,325.7
2017-12-02,318.68
2017-12-03,326.92
2017-12-04,320.89
2017-12-05,314.75
2017-12-06,292.29
2017-12-07,319.03
2017-12-08,308.05
2017-12-09,283.89
2017-12-10,316.05
2017-12-11,364.14
2017-12-12,410.78
2017-12-13,504.97
2017-12-14,463.78
2017-12-15,465.07
2017-12-16,527.14
2017-12-17,583.72
2017-12-18,589.89
2017-12-19,666.0
2017-12-20,646.99
2017-12-21,481.99
2017-12-22,522.2
2017-12-23,519.38
2017-12-24,516.98
2017-12-25,546.2
2017-12-26,517.26
2017-12-27,478.64
2017-12-28,519.04
2017-12-29,446.56
2017-12-30,479.29
2017-12-31,518.49
