timeDate,close,open,volumefrom
2017-12-01,10912.73,10861.47,86825.51
2017-12-02,11246.21,10912.72,122125.7
2017-12-03,11623.91,11244.2,93173.9
2017-12-04,11667.13,11624.37,89687.21
2017-12-05,13749.57,11667.13,191576.66
2017-12-06,16850.31,13750.09,297108.66
2017-12-07,16047.61,16867.98,286762.02
2017-12-08,14843.42,16048.18,181979.81
2017-12-09,15059.6,14839.98,201620.09
2017-12-10,16732.47,15060.45,159724.56
2017-12-11,17083.9,16733.29,132846.57
2017-12-12,16286.82,17083.9,155407.35
2017-12-13,16467.91,16286.82,107918.03
2017-12-14,17604.85,16467.91,153651.15
2017-12-15,19345.49,17594.08,112173.97
2017-12-16,19065.71,19346.6,117408.38
2017-12-17,18972.32,19065.71,139251.39
2017-12-18,17523.7,18971.19,174543.37
2017-12-19,16461.97,17521.73,227676.13
2017-12-20,15632.12,16461.09,163735.02
2017-12-21,13664.97,15632.12,466980.6
2017-12-22,14396.46,13664.97,170169.39
2017-12-23,13789.95,14396.63,182417.29
2017-12-24,13833.49,13789.95,107475.98
2017-12-25,15756.56,13830.19,143135.26
2017-12-26,15416.64,15757.02,138705.28
2017-12-27,14398.7,15416.34,170366.63
2017-12-28,14392.57,14398.45,118874.63
2017-12-29,12531.52,14392.14,182065.44
2017-12-30,13850.4,12532.38,111270.55
2017-12-31,13444.88,13850.49,78425.21
