date, value
2017-01-03,5429.084
2017-01-04,5477.005
2017-01-05,5487.936
2017-01-06,5521.055
2017-01-09,5531.818
2017-01-10,5551.818
2017-01-11,5563.649
2017-01-12,5547.487
2017-01-13,5574.116
2017-01-17,5538.727
2017-01-18,5555.654
2017-01-19,5540.081
2017-01-20,5555.333
2017-01-23,5552.943
2017-01-24,5600.958
2017-01-25,5656.339
2017-01-26,5655.176
2017-01-27,5660.782
2017-01-30,5613.711
2017-01-31,5614.786
2017-02-01,5642.65
2017-02-02,5636.197
2017-02-03,5666.766
2017-02-06,5663.552
2017-02-07,5674.217
2017-02-08,5682.454
2017-02-09,5715.18
2017-02-10,5734.127
2017-02-13,5763.956
2017-02-14,5782.572
2017-02-15,5819.44
2017-02-16,5814.9
2017-02-17,5838.578
2017-02-21,5865.949
2017-02-22,5860.625
2017-02-23,5835.507
2017-02-24,5845.306
2017-02-27,5861.899
2017-02-28,5825.438
2017-03-01,5904.029
2017-03-02,5861.222
2017-03-03,5870.753
2017-03-06,5849.175
2017-03-07,5833.929
2017-03-08,5837.552
2017-03-09,5838.807
2017-03-10,5861.726
2017-03-13,5875.784
2017-03-14,5856.816
2017-03-15,5900.047
2017-03-16,5900.76
2017-03-17,5900.997
2017-03-20,5901.529
2017-03-21,5793.825
2017-03-22,5821.641
2017-03-23,5817.693
2017-03-24,5828.738
2017-03-27,5840.374
2017-03-28,5875.14
2017-03-29,5897.547
2017-03-30,5914.344
2017-03-31,5911.738
2017-04-03,5894.683
2017-04-04,5898.608
2017-04-05,5864.478
2017-04-06,5878.95
2017-04-07,5877.812
2017-04-10,5880.926
2017-04-11,5866.772
2017-04-12,5836.16
2017-04-13,5805.15
2017-04-17,5856.788
2017-04-18,5849.471
2017-04-19,5863.034
2017-04-20,5916.777
2017-04-21,5910.521
2017-04-24,5983.819
2017-04-25,6025.492
2017-04-26,6025.226
2017-04-27,6048.937
2017-04-28,6047.606
2017-05-01,6091.602
2017-05-02,6095.366
2017-05-03,6072.55
2017-05-04,6075.337
2017-05-05,6100.758
2017-05-08,6102.66
2017-05-09,6120.587
2017-05-10,6129.143
2017-05-11,6115.964
2017-05-12,6121.232
2017-05-15,6149.674
2017-05-16,6169.87
2017-05-17,6011.236
2017-05-18,6055.13
2017-05-19,6083.703
2017-05-22,6133.618
2017-05-23,6138.712
2017-05-24,6163.024
2017-05-25,6205.257
2017-05-26,6210.194
2017-05-30,6203.189
2017-05-31,6198.517
2017-06-01,6246.83
2017-06-02,6305.796
2017-06-05,6295.684
2017-06-06,6275.058
2017-06-07,6297.38
2017-06-08,6321.764
2017-06-09,6207.918
2017-06-12,6175.465
2017-06-13,6220.369
