timeDate,close,open,volumefrom
2017-01-01,8.33,8.14,156606.04
2017-01-02,9.59,8.33,571218.0
2017-01-03,10.88,9.59,668352.35
2017-01-04,10.2,10.88,869504.52
2017-01-05,10.07,10.2,348103.81
2017-01-06,9.78,10.07,198160.0
2017-01-07,10.27,9.78,191334.34
2017-01-08,10.2,10.27,222512.84
2017-01-09,10.55,10.2,151430.67
2017-01-10,9.83,10.55,351692.89
2017-01-11,9.81,9.83,244170.16
2017-01-12,9.78,9.81,124371.63
2017-01-13,9.78,9.78,62667.78
2017-01-14,9.88,9.78,47446.58
2017-01-15,9.59,9.88,87968.07
2017-01-16,10.14,9.59,280999.87
2017-01-17,10.19,10.14,194995.48
2017-01-18,10.43,10.19,114204.82
2017-01-19,10.6,10.43,154181.07
2017-01-20,10.91,10.6,154151.84
2017-01-21,10.71,10.91,133890.8
2017-01-22,10.78,10.71,96166.45
2017-01-23,10.51,10.78,125290.45
2017-01-24,10.51,10.51,82282.71
2017-01-25,10.65,10.51,89098.36
2017-01-26,10.51,10.65,100982.8
2017-01-27,10.54,10.51,73008.33
2017-01-28,10.47,10.54,39351.73
2017-01-29,10.62,10.47,129400.76
2017-01-30,10.71,10.62,190048.36
2017-01-31,10.71,10.71,220944.16
2017-02-01,10.78,10.71,253645.4
2017-02-02,10.95,10.78,238476.61
2017-02-03,11.32,10.95,223661.5
2017-02-04,11.22,11.32,80557.88
2017-02-05,11.32,11.22,86056.75
2017-02-06,11.45,11.32,129780.16
2017-02-07,11.39,11.45,162470.22
2017-02-08,10.94,11.39,303533.03
2017-02-09,11.34,10.94,176157.32
2017-02-10,11.43,11.34,99700.65
2017-02-11,11.42,11.43,59766.91
2017-02-12,11.39,11.42,92414.71
2017-02-13,13.0,11.39,694347.97
2017-02-14,12.97,13.0,310263.53
2017-02-15,12.95,12.97,2035678.87
2017-02-16,12.72,12.95,157465.53
2017-02-17,12.83,12.72,99183.87
2017-02-18,12.82,12.83,79992.21
2017-02-19,12.52,12.82,155135.12
2017-02-20,12.77,12.52,216773.59
2017-02-21,12.69,12.77,135387.41
2017-02-22,13.13,12.69,221592.54
2017-02-23,13.11,13.13,265438.72
2017-02-24,13.57,13.11,263934.92
2017-02-25,14.59,13.57,328409.76
2017-02-26,15.55,14.59,551363.78
2017-02-27,16.07,15.55,1253508.43
2017-02-28,17.55,16.07,844865.11
2017-03-01,19.08,17.55,1091778.86
2017-03-02,19.48,19.08,1228424.54
2017-03-03,18.61,19.48,383765.3
2017-03-04,19.22,18.61,307796.26
2017-03-05,19.75,19.22,516776.0
2017-03-06,18.91,19.75,581719.83
2017-03-07,16.54,18.91,744408.07
2017-03-08,17.71,16.54,532796.89
2017-03-09,19.13,17.71,1365580.33
2017-03-10,21.45,19.13,808945.16
2017-03-11,23.31,21.45,810416.18
2017-03-12,28.45,23.31,2259579.53
2017-03-13,28.58,28.45,727787.41
2017-03-14,35.18,28.58,1312919.91
2017-03-15,45.51,35.18,2726645.09
2017-03-16,44.48,45.51,2813509.21
2017-03-17,34.0,44.48,2112492.29
2017-03-18,43.12,34.0,1656354.27
2017-03-19,42.51,43.12,832582.16
2017-03-20,42.67,42.51,484366.03
2017-03-21,41.65,42.67,608057.78
2017-03-22,43.2,41.65,563076.3
2017-03-23,53.19,43.2,1528088.17
2017-03-24,50.62,53.19,1087149.29
2017-03-25,50.63,50.62,463494.42
2017-03-26,49.06,50.63,486365.93
2017-03-27,50.25,49.06,455379.64
2017-03-28,53.07,50.25,735947.3
2017-03-29,51.91,53.07,410830.36
2017-03-30,49.91,51.91,754720.51
2017-03-31,50.6,49.91,324783.37
2017-04-01,48.55,50.6,594491.89
2017-04-02,44.13,48.55,983867.93
2017-04-03,44.43,44.13,705613.77
2017-04-04,44.9,44.43,471198.53
2017-04-05,43.23,44.9,549154.4
2017-04-06,42.31,43.23,295057.05
2017-04-07,44.37,42.31,283406.41
2017-04-08,43.72,44.37,182403.63
2017-04-09,43.74,43.72,212490.27
2017-04-10,43.74,43.74,147047.4
2017-04-11,46.38,43.74,477208.91
2017-04-12,49.97,46.38,573009.19
2017-04-13,47.32,49.97,327571.5
2017-04-14,48.89,47.32,219461.56
2017-04-15,48.22,48.89,93749.24
2017-04-16,47.94,48.22,170663.65
2017-04-17,49.88,47.94,436070.52
2017-04-18,47.88,49.88,380316.93
2017-04-19,49.36,47.88,312069.94
2017-04-20,48.27,49.36,196921.85
2017-04-21,48.41,48.27,149803.37
2017-04-22,48.75,48.41,172577.23
2017-04-23,49.94,48.75,238228.15
2017-04-24,50.09,49.94,167430.9
2017-04-25,53.28,50.09,531522.95
2017-04-26,63.14,53.28,750748.42
2017-04-27,72.42,63.14,1041598.58
2017-04-28,69.83,72.42,536860.87
2017-04-29,79.83,69.83,599185.59
2017-04-30,77.53,79.83,1236010.8
2017-05-01,77.25,77.53,547108.24
